Imagen|Tipos de Daño|Piezas del Vehículo|Sugerencia
1.jpg|Abolladura|Guardabarros delantero derecho |Reparar
2.jpg|Abolladura|Parachoques trasero|Reparar
3.jpg|Rayón|Parachoques delantero|Reparar
4.jpg|Rotura|Rueda |Reparar
5.jpg|Rotura|Parabrisas trasero|Reemplazar
6.jpg|Rayón|Parachoques trasero|Reparar
7.jpg|Rotura|Parabrisas delantero|Reemplazar
8.jpg|Rotura|Parabrisas delantero|Reemplazar
9.jpg|Deformación|Capó |Reparar
9.jpg|Deformación|Guardabarros delantero izquierdo |Reparar
9.jpg|Rotura|Parabrisas delantero|Reemplazar
9.jpg|Rotura|Faros derecho|Reemplazar
9.jpg|Rotura|Luz indicadora delantera derecha|Reemplazar
10.jpg|Rotura|Parabrisas delantero|Reemplazar
11.jpg|Rayón|Parachoques trasero|Reparar
12.jpg|Rotura|Faros derecho|Reemplazar
13.jpg|Rotura|Faros izquierdo|Reemplazar
14.jpg|Abolladura|Parachoques trasero|Reparar
15.jpg|Rotura|Faros derecho|Reemplazar
15.jpg|Rotura|Parachoques delantero|Reparar
15.jpg|Rotura|Guardabarros delantero derecho |Reparar
15.jpg|Rotura|Luz indicadora delantera derecha|Reemplazar
16.jpg|Abolladura|Guardabarros delantero derecho |Reparar
17.jpg|Rayón|Puerta trasera derecha|Reparar
17.jpg|Rayón|Guardabarros trasero derecho|Reparar
18.jpg|Rotura|Faros derecho|Reemplazar
18.jpg|Rotura|Parachoques delantero|Reemplazar
18.jpg|Rotura|Luz indicadora delantera derecha|Reemplazar
19.jpg|Rotura|Parabrisas trasero|Reemplazar
20.jpg|Abolladura|Puerta delantera izquierda|Reparar
20.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
20.jpg|Abolladura|Marco de las puertas|Reparar
21.jpg|Abolladura|Guardabarros delantero derecho |Reparar
21.jpg|Abolladura|Capó |Reparar
21.jpg|Desprendimiento|Parachoques delantero|Reemplazar
21.jpg|Rotura|Faros derecho|Reemplazar
22.jpg|Fractura|Parachoques delantero|Reparar
23.jpg|Abolladura|Parachoques delantero|Reparar
24.jpg|Rotura|Rueda |Reemplazar
25.jpg|Deformación|Guardabarros delantero derecho |Reparar
26.jpg|Rotura|Faros derecho|Reemplazar
26.jpg|Rotura|Guardabarros delantero derecho |Reparar
26.jpg|Rotura|Parachoques delantero|Reparar
27.jpg|Rotura|Rueda |Reparar
28.jpg|Rayón|Puerta delantera izquierda|Reparar
28.jpg|Rayón|Guardabarros delantero izquierdo |Reparar
29.jpg|Deformación|Parachoques delantero|Reparar
29.jpg|Rotura|Faros derecho|Reemplazar
30.jpg|Abolladura|Capó |Reparar
30.jpg|Deformación|Guardabarros delantero derecho |Reparar
30.jpg|Fractura|Parachoques delantero|Reparar
30.jpg|Rotura|Faros derecho|Reemplazar
31.jpg|Rayón|Parachoques delantero|Reparar
32.jpg|Rayón|Puerta delantera izquierda|Reparar
32.jpg|Rayón|Guardabarros delantero izquierdo |Reparar
32.jpg|Rotura|Luz indicadora delantera izquierda|Reemplazar
33.jpg|Rayón|Guardabarros delantero izquierdo |Reparar
34.jpg|Rayón|Parachoques trasero|Reparar
35.jpg|Rotura|Parabrisas delantero|Reemplazar
36.jpg|Rotura|Rueda |Reparar
37.jpg|Rotura|Parachoques delantero|Reparar
38.jpg|Rotura|Parabrisas trasero|Reemplazar
39.jpg|Rayón|Parachoques delantero|Reparar
40.jpg|Deformación|Marco de las puertas|Reparar
41.jpg|Abolladura|Capó |Reparar
41.jpg|Rotura|Faros derecho|Reemplazar
42.jpg|Rayón|Parachoques delantero|Reparar
43.jpg|Rayón|Parachoques delantero|Reparar
44.jpg|Abolladura|Parachoques trasero|Reparar
44.jpg|Abolladura|Guardabarros trasero derecho|Reparar
45.jpg|Abolladura|Puerta trasera izquierda|Reparar
46.jpg|Abolladura|Guardabarros delantero derecho |Reparar
46.jpg|Rayón|Parachoques delantero|Reparar
47.jpg|Rotura|Rueda |Reparar
48.jpg|Rayón|Parachoques delantero|Reparar
49.jpg|Rotura|Ventana trasera izquierda|Reemplazar
50.jpg|Rotura|Parabrisas delantero|Reemplazar
51.jpg|Rotura|Rueda |Reparar
52.jpg|Abolladura|Parachoques delantero|Reparar
53.jpg|Rayón|Parachoques delantero|Reparar
53.jpg|Rotura|Faros derecho|Reemplazar
54.jpg|Rayón|Guardabarros delantero izquierdo |Reparar
55.jpg|Rotura|Parabrisas delantero|Reemplazar
56.jpg|Abolladura|Parachoques trasero|Reparar
57.jpg|Abolladura|Puerta delantera derecha|Reparar
57.jpg|Abolladura|Puerta trasera derecha|Reparar
58.jpg|Rayón|Guardabarros delantero derecho |Reparar
59.jpg|Rotura|Parabrisas delantero|Reemplazar
60.jpg|Deformación|Guardabarros delantero izquierdo |Reparar
60.jpg|Deformación|Capó |Reparar
60.jpg|Rotura|Espejo lateral izquierdo|Reemplazar
60.jpg|Rotura|Parachoques delantero|Reparar
61.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
61.jpg|Rotura|Parachoques delantero|Reparar
62.jpg|Rotura|Faros derecho|Reemplazar
63.jpg|Rayón|Parachoques delantero|Reparar
64.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
65.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
65.jpg|Abolladura|Parachoques delantero|Reparar
66.jpg|Rotura|Parabrisas delantero|Reemplazar
67.jpg|Rotura|Parachoques delantero|Reparar
67.jpg|Rotura|Antiniebla delantero derecho|Reemplazar
68.jpg|Rotura|Parabrisas delantero|Reemplazar
69.jpg|Rayón|Parachoques trasero|Reparar
70.jpg|Rotura|Faros derecho|Reemplazar
71.jpg|Rayón|Parachoques trasero|Reparar
72.jpg|Abolladura|Guardabarros delantero derecho |Reparar
73.jpg|Abolladura|Capó |Reparar
73.jpg|Rotura|Parabrisas delantero|Reemplazar
74.jpg|Rayón|Parachoques trasero|Reparar
75.jpg|Deformación|Guardabarros delantero izquierdo |Reparar
75.jpg|Desprendimiento|Parachoques delantero|Reparar
76.jpg|Abolladura|Parachoques trasero|Reparar
