Imagen|Piezas del Vehículo|Tipos de Daño|Sugerencia
1.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
10.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
100.jpg|['Guardabarros delantero derecho ', 'Faros derecho', 'Parachoques delantero']|['Deformación', 'Rotura', 'Rotura']|['Reparar', 'Reemplazar', 'Reparar']
1000.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1001.jpg|['Maletero', 'Parachoques trasero', 'Luz trasera izquierdo']|['Abolladura', 'Fractura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
1002.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
1003.jpg|['Parachoques delantero', 'Faros derecho']|['Desprendimiento', 'Rayón']|['Reemplazar', 'Reemplazar']
1004.jpg|['Luz trasera derecho', 'Parachoques trasero']|['Fractura', 'Rayón']|['Reemplazar', 'Reparar']
1005.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
1006.jpg|['Guardabarros trasero derecho']|['Rayón']|['Reparar']
1007.jpg|['Puerta trasera izquierda']|['Abolladura']|['Reparar']
1008.jpg|['Parachoques trasero']|['Desprendimiento']|['Reemplazar']
1009.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
101.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
1010.jpg|['Faros derecho']|['Rotura']|['Reemplazar']
1011.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1012.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1013.jpg|['Marco de las puertas']|['Abolladura']|['Reparar']
1014.jpg|['Parachoques delantero', 'Luz indicadora trasera derecha']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
1015.jpg|['Parachoques trasero', 'Maletero']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
1016.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1017.jpg|['Guardabarros trasero izquierdo', 'Maletero', 'Parachoques trasero', 'Luz trasera izquierdo']|['Abolladura', 'Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
1018.jpg|['Guardabarros trasero izquierdo']|['Rayón']|['Reparar']
1019.jpg|['Guardabarros trasero izquierdo']|['Rayón']|['Reparar']
102.jpg|['Parachoques trasero']|['Fractura']|['Reparar']
1020.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1021.jpg|['Parachoques trasero']|['Rotura']|['Reparar']
1022.jpg|['Guardabarros trasero izquierdo']|['Deformación']|['Reparar']
1023.jpg|['Rueda ']|['Rotura']|['Reemplazar']
1024.jpg|['Puerta delantera izquierda']|['Abolladura']|['Reparar']
1025.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1026.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
1027.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1028.jpg|['Guardabarros trasero derecho']|['Abolladura']|['Reparar']
1029.jpg|['Parachoques delantero', 'Faros derecho']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
103.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1030.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1031.jpg|['Rueda ']|['Rotura']|['Reemplazar']
1032.jpg|['Ventana delantera izquierda']|['Rotura']|['Reemplazar']
1033.jpg|['Parachoques delantero', 'Guardabarros delantero derecho ', 'Faros derecho', 'Rueda ']|['Abolladura', 'Abolladura', 'Rotura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
1034.jpg|['Guardabarros delantero derecho ', 'Faros izquierdo']|['Deformación', 'Rotura']|['Reparar', 'Reemplazar']
1035.jpg|['Guardabarros delantero izquierdo ', 'Faros izquierdo']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
1036.jpg|['Rueda ']|['Rotura']|['Reparar']
1037.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
1038.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Faros izquierdo']|['Deformación', 'Rotura', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar']
